Gene,C,Z,Pval,FDR,Module
SFR1,0.06111474663777187,3.664267473406509,0.00012402373410649897,0.00014655654520327028,
TPTE2P6,0.0532627653360086,3.664110010434845,0.00012410004895456488,0.000146635116816654,
TNFAIP8L1,0.03635851794249517,3.6631661378953315,0.00012455842338003747,0.00014716507723554057,
AC064799.1,0.04056449889643322,3.6625686294813007,0.00012484941269873904,0.00014749720485588268,
AMMECR1L,0.027220384339797486,3.6623396635478933,0.00012496108903304766,0.0001476174561567191,
DHCR7,0.0370216116561227,3.6622278879500643,0.00012501564072867985,0.00014767021200894233,
RPL10P16,0.0473312899928279,3.6621402774367304,0.00012505841435169623,0.00014770904819020174,
LINC00907,0.059402136793039545,3.6607399300977463,0.00012574396441409122,0.00014850701454301288,
VTRNA1-1,0.053824342245226336,3.6591325371004366,0.0001265352194614463,0.00014942968519786462,
ILDR1,0.05788039530505794,3.6590824281852115,0.00012655996095915748,0.0001494394817302217,
EMP1,0.05472525380325961,3.6590751848712544,0.00012656353775262696,0.0001494394817302217,
AC024560.5,0.04862922679800204,3.658604253038137,0.00012679629037227552,0.00014970246194629096,
VDAC2,0.04043503865499643,3.658131539409568,0.00012703032727285978,0.0001499669167353668,
AC117378.1,0.06514860782828882,3.6567817808129384,0.00012770081413818334,0.00015074654429740315,
TSPO,0.04567307046404495,3.655635856145616,0.00012827265064318573,0.00015140960431368284,
NARF,0.03663563558239581,3.6555226502833387,0.00012832927248822133,0.00015146446196186289,
ILVBL,0.0561780526401413,3.6541878247861095,0.00012899867805724546,0.000152242510069616,
IMPACT,0.050464232388959265,3.654109217237987,0.00012903820109629973,0.00015227711501023528,
TAL1,0.0681788490122399,3.6540054720550588,0.00012909038045245724,0.00015232664893389955,
NUPL2,0.03393188656717369,3.65392698046722,0.0001291298714847424,0.00015236120398804442,
ZNF16,0.04532079730430508,3.6534596529893135,0.00012936522993710353,0.0001526268405999956,
PIEZO2,0.06522925009486678,3.653391514450934,0.00012939957988363266,0.00015265530142440407,
DPAGT1,0.05452085018998033,3.6532877665117827,0.00012945189763785114,0.00015270495306149865,
AL136456.1,0.06470201979083241,3.653251132450336,0.00012947037610949353,0.00015271468227470643,
FAM86DP,0.04689563745990493,3.6529605425083456,0.00012961703930906168,0.00015287559622047755,
SRGAP3,0.062205599822056666,3.6527352579710315,0.00012973084950287857,0.00015299773963257238,
SYNM,0.053229447822570185,3.652280680086639,0.0001299607804150324,0.0001532567995935526,
AC090844.2,0.07266245842389137,3.6509698486721205,0.0001306259559549211,0.0001540290421470185,
ZNF740,0.05396147712659351,3.6500504499273196,0.00013109440387059525,0.00015456920747048777,
ZNF549,0.0425932335755458,3.6478777142678913,0.00013220771299998405,0.000155869562589903,
WDYHV1,0.0376733412114956,3.647018272487431,0.00013265053229648868,0.000156379284124916,
RHBDD3,0.04441138303549436,3.6468272825991734,0.00013274912668786299,0.0001564831567614097,
PYROXD1,0.03453228861933914,3.645150538222075,0.00013361766347333892,0.00015749454064012397,
SPECC1L-ADORA2A,0.04099929013559472,3.64465589477217,0.00013387489957380108,0.00015778528432199988,
PEX6,0.04180645348750889,3.6442710668938854,0.00013407534779298028,0.00015800905704293515,
AC009961.1,0.04178007732070761,3.6441749005558486,0.00013412548260176383,0.00015805566265070882,
SLBP,0.06279846205885002,3.6440545819788626,0.00013418823354833148,0.00015811712679001768,
AL031282.1,0.04496884150126902,3.6425914653311944,0.0001349535126781685,0.0001590063212366423,
AP4M1,0.03833900151849722,3.6409662167267807,0.00013580838968104222,0.00016000093392019868,
LINC01301,0.03759470560076401,3.640284623950815,0.00013616841437887576,0.00016041243164971025,
GTF2A1,0.05075449016121754,3.63998223839269,0.0001363284240054841,0.00016058825640229336,
AL356807.1,0.06338816774229736,3.6394674194872585,0.00013660124985143807,0.0001608969349429824,
AL160269.1,0.06985475076984339,3.637440613146859,0.0001376803271783024,0.00016215513995506705,
AC011477.4,0.035367902726298056,3.6368108245227977,0.00013801725187258945,0.00016253913362541562,
DBF4,0.03791972295472232,3.6364462855416453,0.00013821262606979428,0.00016275637972103338,
FAM71D,0.06219501297241768,3.636001848354904,0.00013845117223267186,0.00016302442596174906,
HIST1H2BH,0.04471951991479385,3.6358794936553362,0.00013851691230522481,0.0001630889690787262,
AC091180.5,0.055158764861195676,3.6358153191750993,0.0001385514043666549,0.0001631167136983246,
THEM4,0.05304126458699297,3.6357773658426016,0.00013857180705221392,0.00016312786781296507,
SCYL2,0.0392567813283174,3.6354110455733664,0.0001387688757136301,0.00016334697640386063,
APIP,0.056111533440219866,3.633225555419002,0.00013995006824869428,0.0001647243864333906,
HMGCS1,0.041834620732961715,3.6331200285661738,0.00014000734013900788,0.0001647788036154672,
RFX5,0.05508955965305835,3.6305358353852304,0.00014141671524305093,0.0001664244172526822,
LY86-AS1,0.05068317337053601,3.62983060876081,0.0001418036364564938,0.00016686660476043224,
STK16,0.03458515866466113,3.6297511524006447,0.00014184729215277667,0.0001669048186949785,
AC025171.3,0.04816166143397347,3.628741376926276,0.00014240319098464014,0.0001675388589581991,
BHLHE41,0.0663272600713623,3.62873158550717,0.00014240859130847658,0.0001675388589581991,
FABP5P3,0.060237673232162135,3.628449708672557,0.00014256413893472053,0.00016770863755052198,
KIF7,0.040269785002776205,3.628174872181531,0.00014271595475665976,0.00016787399973622224,
ZNF460,0.06542293517933341,3.628086238652246,0.000142764946966694,0.00016791839597918537,
AC073529.1,0.044090363161575705,3.627655021932534,0.00014300352703701903,0.0001681857585945149,
DPY19L2P2,0.05170694019896976,3.6274569269972403,0.00014311325255745794,0.00016830154580675763,
GPX7,0.06586413774055708,3.6271619880192123,0.00014327676650951497,0.00016848056512427367,
CENPX,0.0330546679422327,3.6266585964930558,0.0001435562507732184,0.00016879591613169211,
CD9,0.053833463012842725,3.625362721613379,0.00014427807544662287,0.00016963128797981564,
